Agent at position (x: 526.6819, y: 0.1, z: 498.22) marked as 'A'
Prop at position (x: -264.25, y: 0.2, z: 98.14996) marked as 'X'
Prop at position (x: -248.9809, y: 0.2, z: -16.86102) marked as 'X'
Prop at position (x: -3.399994, y: 0, z: 81.29999) marked as 'X'
Prop at position (x: -96.30002, y: 0.2, z: -76.80002) marked as 'X'
Prop at position (x: -216.54, y: 0.2, z: -76.80002) marked as 'X'
Prop at position (x: -144.15, y: 0.2, z: -29.29002) marked as 'X'
Prop at position (x: -203.61, y: 0.2, z: 106) marked as 'X'
Prop at position (x: -121.53, y: 0.2, z: -17.86008) marked as 'X'
Prop at position (x: -249.1, y: 0.2, z: 134.2) marked as 'X'
Prop at position (x: -176.7, y: 0.2, z: -16.80002) marked as 'X'
Prop at position (x: 0.1000061, y: 0, z: -38.80002) marked as 'X'
Prop at position (x: -24.22, y: 0.2, z: -17.90002) marked as 'X'
Prop at position (x: -216.54, y: 0.2, z: -16.80002) marked as 'X'
Prop at position (x: -196.17, y: 0, z: 73.90997) marked as 'X'
Prop at position (x: -264.1, y: 0.2, z: 30.73999) marked as 'X'
Prop at position (x: -36.60001, y: 0.2, z: -76.80002) marked as 'X'
Prop at position (x: -188.98, y: 0.2, z: 43.20999) marked as 'X'
Prop at position (x: -24.22, y: 0.2, z: -0.6800232) marked as 'X'
Prop at position (x: -121.23, y: 0, z: 60.40997) marked as 'X'
Prop at position (x: -80.10001, y: 16.49, z: -87.30002) marked as 'X'
Prop at position (x: -264.1, y: 0.2, z: -49.30002) marked as 'X'
Prop at position (x: -204.23, y: 0.2, z: -61.69002) marked as 'X'
Prop at position (x: -36.60001, y: 0.2, z: 43.20999) marked as 'X'
Prop at position (x: -153.7, y: 9.18, z: -34.30002) marked as 'X'
Prop at position (x: -249.05, y: 0.2, z: 83.04999) marked as 'X'
Prop at position (x: -129.15, y: 0.2, z: -29.29002) marked as 'X'
Prop at position (x: -84.07999, y: 0.2, z: 30.73999) marked as 'X'
Prop at position (x: -271.2, y: 0, z: 20.59998) marked as 'X'
Prop at position (x: -24.29001, y: 0.2, z: 43.20999) marked as 'X'
Prop at position (x: -144.15, y: 0.2, z: 10.72998) marked as 'X'
Prop at position (x: -84.09, y: 0.2, z: -76.89226) marked as 'X'
Prop at position (x: -180.3, y: 24.27, z: 34.59998) marked as 'X'
Prop at position (x: -209.8, y: 18.91, z: 9.799988) marked as 'X'
Prop at position (x: -144.15, y: 0.2, z: 98.14996) marked as 'X'
Prop at position (x: -264.25, y: 0.2, z: 58.31) marked as 'X'
Prop at position (x: -24.11002, y: 0.2, z: -49.30002) marked as 'X'
Prop at position (x: -177.9681, y: 9.18, z: 7.481903) marked as 'X'
Prop at position (x: -68.88998, y: 0.2, z: -61.69002) marked as 'X'
Prop at position (x: -24.29001, y: 0.2, z: -16.86102) marked as 'X'
Prop at position (x: -162.291, y: 0.2, z: -0.6300049) marked as 'X'
Prop at position (x: -144.22, y: 0.2, z: 58.31) marked as 'X'
Prop at position (x: -216.54, y: 0.2, z: 43.20999) marked as 'X'
Prop at position (x: -1.100006, y: 0, z: -8.600021) marked as 'X'
Prop at position (x: -182.43, y: 0, z: 73.90997) marked as 'X'
Prop at position (x: -116.3, y: 0.2, z: -16.80002) marked as 'X'
Prop at position (x: -84.29001, y: 0.2, z: -16.86102) marked as 'X'
Prop at position (x: -236.6, y: 0.2, z: 83.12997) marked as 'X'
Prop at position (x: -116.3, y: 0.2, z: -1.800018) marked as 'X'
Prop at position (x: 6.299988, y: 0, z: -56.60002) marked as 'X'
Prop at position (x: -215.5, y: 16.49, z: -86.60002) marked as 'X'
Prop at position (x: -128.95, y: 0.2, z: 98.14996) marked as 'X'
Prop at position (x: -249.05, y: 0.2, z: 58.31) marked as 'X'
Prop at position (x: -176.7, y: 0.2, z: 98.12997) marked as 'X'
Prop at position (x: -209.5, y: 0, z: 73.90997) marked as 'X'
Prop at position (x: -36.60001, y: 0.2, z: -61.80002) marked as 'X'
Prop at position (x: -116.3, y: 0.2, z: -61.80002) marked as 'X'
Prop at position (x: -269.4, y: 0, z: 78.59998) marked as 'X'
Prop at position (x: -96.30002, y: 0.2, z: 43.20999) marked as 'X'
Prop at position (x: -216.54, y: 0.2, z: 58.20999) marked as 'X'
Prop at position (x: -239.9, y: 24.27, z: 7.066528) marked as 'X'
Prop at position (x: 8.5, y: 0, z: -5.600021) marked as 'X'
Prop at position (x: -128.23, y: 0.2, z: 34.40997) marked as 'X'
